MidiWord: 0x451DEE00  | Timestamp: 285049479 us | Note: 69 | Velocity: 29 | Duration: 238 ms
REST     : --------  | Timestamp: 285799479 us | Duration: 238 ms
MidiWord: 0x451DC400  | Timestamp: 286549479 us | Note: 69 | Velocity: 29 | Duration: 196 ms
REST     : --------  | Timestamp: 289049479 us | Duration: 90 ms
MidiWord: 0x421DEE00  | Timestamp: 317299479 us | Note: 66 | Velocity: 29 | Duration: 238 ms
MidiWord: 0x441DEE00  | Timestamp: 318049479 us | Note: 68 | Velocity: 29 | Duration: 238 ms
MidiWord: 0x461DDC00  | Timestamp: 318799479 us | Note: 70 | Velocity: 29 | Duration: 220 ms
MidiWord: 0x461DDC00  | Timestamp: 320299479 us | Note: 70 | Velocity: 29 | Duration: 220 ms
REST     : --------  | Timestamp: 321799479 us | Duration: 224 ms
MidiWord: 0x461DDC00  | Timestamp: 333799479 us | Note: 70 | Velocity: 29 | Duration: 220 ms
MidiWord: 0x441DCA00  | Timestamp: 335299479 us | Note: 68 | Velocity: 29 | Duration: 202 ms
MidiWord: 0x411DEE00  | Timestamp: 337549479 us | Note: 65 | Velocity: 29 | Duration: 238 ms
MidiWord: 0x421DDC00  | Timestamp: 338299479 us | Note: 66 | Velocity: 29 | Duration: 220 ms
REST     : --------  | Timestamp: 339799479 us | Duration: 56 ms
MidiWord: 0x4B1DFA00  | Timestamp: 358799479 us | Note: 75 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 359049479 us | Duration: 250 ms
MidiWord: 0x421DFA00  | Timestamp: 359299479 us | Note: 66 | Velocity: 29 | Duration: 250 ms
MidiWord: 0x501D7D00  | Timestamp: 359549479 us | Note: 80 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x4E1D7D00  | Timestamp: 359674479 us | Note: 78 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x501DFA00  | Timestamp: 359799479 us | Note: 80 | Velocity: 29 | Duration: 250 ms
MidiWord: 0x491D7D00  | Timestamp: 360049479 us | Note: 73 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x481D7D00  | Timestamp: 360174479 us | Note: 72 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x491DFA00  | Timestamp: 360299479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 360549479 us | Duration: 238 ms
MidiWord: 0x4B1DFA00  | Timestamp: 361299479 us | Note: 75 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 361549479 us | Duration: 244 ms
MidiWord: 0x491DFA00  | Timestamp: 362049479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 362299479 us | Duration: 250 ms
MidiWord: 0x491DFA00  | Timestamp: 362549479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 362799479 us | Duration: 250 ms
MidiWord: 0x491D7D00  | Timestamp: 363049479 us | Note: 73 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x481D7D00  | Timestamp: 363174479 us | Note: 72 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x491DFA00  | Timestamp: 363299479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
MidiWord: 0x491D7D00  | Timestamp: 363549479 us | Note: 73 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x481D7D00  | Timestamp: 363674479 us | Note: 72 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x4B1DFA00  | Timestamp: 363799479 us | Note: 75 | Velocity: 29 | Duration: 250 ms
MidiWord: 0x491D7D00  | Timestamp: 364049479 us | Note: 73 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x481D7D00  | Timestamp: 364174479 us | Note: 72 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x491DFA00  | Timestamp: 364299479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 364549479 us | Duration: 244 ms
MidiWord: 0x491DFA00  | Timestamp: 365049479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
MidiWord: 0x491DFA00  | Timestamp: 365299479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
MidiWord: 0x481DFA00  | Timestamp: 365549479 us | Note: 72 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 365799479 us | Duration: 106 ms
MidiWord: 0x491D7D00  | Timestamp: 372049479 us | Note: 73 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x491D7D00  | Timestamp: 372174479 us | Note: 73 | Velocity: 29 | Duration: 125 ms
MidiWord: 0x491DFA00  | Timestamp: 372299479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
MidiWord: 0x491DFA00  | Timestamp: 372549479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
MidiWord: 0x4B1DFA00  | Timestamp: 372799479 us | Note: 75 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 373049479 us | Duration: 250 ms
MidiWord: 0x421DFA00  | Timestamp: 373299479 us | Note: 66 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 373549479 us | Duration: 250 ms
MidiWord: 0x461DFA00  | Timestamp: 373799479 us | Note: 70 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 374049479 us | Duration: 202 ms
MidiWord: 0x491DFA00  | Timestamp: 376299479 us | Note: 73 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 376549479 us | Duration: 250 ms
MidiWord: 0x4B1DFA00  | Timestamp: 376799479 us | Note: 75 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 377049479 us | Duration: 250 ms
MidiWord: 0x441DFA00  | Timestamp: 377299479 us | Note: 68 | Velocity: 29 | Duration: 250 ms
REST     : --------  | Timestamp: 377549479 us | Duration: 218 ms
MidiWord: 0x461DA000  | Timestamp: 389799479 us | Note: 70 | Velocity: 29 | Duration: 160 ms
MidiWord: 0x4E1DA000  | Timestamp: 393799479 us | Note: 78 | Velocity: 29 | Duration: 160 ms
REST     : --------  | Timestamp: 397799479 us | Duration: 96 ms
MidiWord: 0x441DA000  | Timestamp: 425799479 us | Note: 68 | Velocity: 29 | Duration: 160 ms
MidiWord: 0x441DD000  | Timestamp: 429799479 us | Note: 68 | Velocity: 29 | Duration: 208 ms
MidiWord: 0x461DDC00  | Timestamp: 431799479 us | Note: 70 | Velocity: 29 | Duration: 220 ms
MidiWord: 0x3C1DF400  | Timestamp: 433299479 us | Note: 60 | Velocity: 29 | Duration: 244 ms
MidiWord: 0x441D7000  | Timestamp: 433799479 us | Note: 68 | Velocity: 29 | Duration: 112 ms
MidiWord: 0x461DD000  | Timestamp: 439799479 us | Note: 70 | Velocity: 29 | Duration: 208 ms
MidiWord: 0x441DA000  | Timestamp: 441799479 us | Note: 68 | Velocity: 29 | Duration: 160 ms
REST     : --------  | Timestamp: 445799479 us | Duration: 113 ms
MidiWord: 0x3C09D000  | Timestamp: 519385416 us | Note: 60 | Velocity: 9 | Duration: 208 ms
MidiWord: 0x3C09B200  | Timestamp: 521385416 us | Note: 60 | Velocity: 9 | Duration: 178 ms
REST     : --------  | Timestamp: 524635416 us | Duration: 54 ms
MidiWord: 0x3F09EE00  | Timestamp: 554385416 us | Note: 63 | Velocity: 9 | Duration: 238 ms
MidiWord: 0x4109EE00  | Timestamp: 555135416 us | Note: 65 | Velocity: 9 | Duration: 238 ms
MidiWord: 0x4109DC00  | Timestamp: 555885416 us | Note: 65 | Velocity: 9 | Duration: 220 ms
MidiWord: 0x4609EE00  | Timestamp: 557385416 us | Note: 70 | Velocity: 9 | Duration: 238 ms
MidiWord: 0x4609EE00  | Timestamp: 558135416 us | Note: 70 | Velocity: 9 | Duration: 238 ms
MidiWord: 0x4609EE00  | Timestamp: 558885416 us | Note: 70 | Velocity: 9 | Duration: 238 ms
MidiWord: 0x4609EE00  | Timestamp: 559635416 us | Note: 70 | Velocity: 9 | Duration: 238 ms
REST     : --------  | Timestamp: 560385416 us | Duration: 142 ms
MidiWord: 0x3E0BB200  | Timestamp: 593295572 us | Note: 62 | Velocity: 11 | Duration: 178 ms
REST     : --------  | Timestamp: 596545572 us | Duration: 214 ms
MidiWord: 0x3E0BB800  | Timestamp: 598295572 us | Note: 62 | Velocity: 11 | Duration: 184 ms
